127.0.0.1 - - [28/Oct/2021:22:54:53 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/signUp.jsp HTTP/1.1" 200 13561
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/img/mainIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:53 +0900] "GET /Quiz_WebProject/image/favicon.png HTTP/1.1" 404 848
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:56 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:54:56 +0900] "GET /Quiz_WebProject/img/quizRandom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:02 +0900] "GET /Quiz_WebProject/login.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:03 +0900] "GET /Quiz_WebProject/signUp.jsp HTTP/1.1" 200 13561
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:03 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:04 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:06 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:07 +0900] "GET /Quiz_WebProject/login.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:08 +0900] "GET /Quiz_WebProject/signUp.jsp HTTP/1.1" 200 13561
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:08 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:08 +0900] "GET /Quiz_WebProject/login.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:11 +0900] "GET /Quiz_WebProject/signUp.jsp HTTP/1.1" 200 13561
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:11 +0900] "GET /Quiz_WebProject/image/mainIcon.svg HTTP/1.1" 404 849
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:29 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:42 +0900] "GET /Quiz_WebProject/login.jsp HTTP/1.1" 200 3498
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:44 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:55:46 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
0:0:0:0:0:0:0:1 - - [28/Oct/2021:22:56:07 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5350
