127.0.0.1 - - [02/Nov/2021:23:16:46 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/index.jsp HTTP/1.1" 200 5413
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/js/bootstrap.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/css/bootstrap.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/css/custom.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/img/mainIcon.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/js/popper.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/js/jquery.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:47 +0900] "GET /Quiz_WebProject/img/quizRandom.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:16:52 +0900] "GET /Quiz_WebProject/signUp.jsp HTTP/1.1" 200 13492
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:17:03 +0900] "GET /Quiz_WebProject/image/favicon.png HTTP/1.1" 404 848
186.33.86.106 - - [02/Nov/2021:23:19:50 +0900] "GET / HTTP/1.1" 404 807
186.33.86.106 - - [02/Nov/2021:23:19:50 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [02/Nov/2021:23:21:33 +0900] "GET /Quiz_WebProject/registerQuiz.jsp HTTP/1.1" 200 4835
